,Unnamed: 0,SrNo,JuzNo,SurahNo,AyahNo,EnglishTranslation,ArabicWordCount,ArabicLetterCount,UrduTranslation,Arabic
0,0,1,1,1,1,"In the name of Allah, Most Gracious, Most Merciful.",4,19,شروع الله کا نام لے کر جو بڑا مہربان نہایت رحم والا ہے,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
1,1,2,1,1,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",4,18,سب طرح کی تعریف خدا ہی کو (سزاوار) ہے جو تمام مخلوقات کا پروردگار ہے ,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
2,2,3,1,1,3,"Most Gracious, Most Merciful;",2,12,بڑا مہربان نہایت رحم والا ,الرَّحْمَٰنِ الرَّحِيمِ
3,3,4,1,1,4,Master of the Day of Judgment.,3,12,انصاف کے دن کا حاکم ,مَالِكِ يَوْمِ الدِّينِ
4,4,5,1,1,5,"Thee do we worship, and Thine aid we seek.",4,19,(اے پروردگار) ہم تیری ہی عبادت کرتے ہیں اور تجھ ہی سے مدد مانگتے ہیں ,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
5,5,6,1,1,6,"Show us the straight way,",3,19,ہم کو سیدھے رستے چلا ,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
6,6,7,1,1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",9,44,ان لوگوں کے رستے جن پر تو اپنا فضل وکرم کرتا رہا نہ ان کے جن پر غصے ہوتا رہا اور نہ گمراہوں کے,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
7,7,8,1,2,1,A. L. M.,1,3,الم ,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم
8,8,9,1,2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",9,30,یہ کتاب (قرآن مجید) اس میں کچھ شک نہیں (کہ کلامِ خدا ہے۔ خدا سے) ڈرنے والوں کی رہنما ہے ,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ
9,9,10,1,2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",8,47,جو غیب پر ایمان لاتے اور آداب کے ساتھ نماز پڑھتے اور جو کچھ ہم نے ان کو عطا فرمایا ہے اس میں سے خرچ کرتے ہیں ,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ
10,10,11,1,2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",12,52,اور جو کتاب (اے محمدصلى الله عليه وسلم) تم پر نازل ہوئی اور جو کتابیں تم سے پہلے (پیغمبروں پر) نازل ہوئیں سب پر ایمان لاتے اور آخرت کا یقین رکھتے ہیں ,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ
